Skills,Roles,Experience,Availability,ProjectAssignment,BurnRate,PerformanceRating,Overtime,NumberOfProject,AverageMonthlyHours,TimeSpendCompany,Age,Gender,HistoricalPerformanceData,YearsAtCompany,PromotionLast5Years
"Machine Learning, Matplotlib, Python, R, Data Analysis",Data Scientist,19,Available,Future-proofed full-range analyzer,0.09,2,False,10,206,10,48,Female,"4, 3, 3, 1, 5",8,True
"Linux, Kubernetes, Shell Scripting",DevOps Engineer,22,Available,Public-key needs-based info-mediaries,0.31,5,True,4,167,4,24,Male,"4, 1, 4, 5, 5",8,False
"ITIL, Project Management, Risk Management",IT Manager,7,Occupied,Team-oriented full-range info-mediaries,0.96,4,False,3,161,2,47,Female,"3, 4, 2, 5, 3",5,False
"Docker, Kubernetes, Cloud Security",Cloud Engineer,4,Available,Polarized foreground leverage,0.39,3,True,6,223,7,52,Female,"3, 4, 4, 4, 4",3,True
"CSS, C++, React, JavaScript",Software Engineer,30,Occupied,Fully-configurable multi-state Local Area Network,0.08,2,False,6,216,7,53,Male,"5, 4, 4, 1, 5",1,True
"Networking, Google Cloud, Cloud Security, Kubernetes, AWS",Cloud Engineer,12,Available,Versatile impactful hierarchy,0.95,1,True,6,227,7,31,Female,"3, 3, 2, 4, 4",9,True
"C++, Django, CSS, React, Python",Software Engineer,17,Occupied,Function-based multimedia service-desk,0.35,4,True,8,224,4,43,Female,"2, 1, 2, 4, 3",7,False
"Docker, CI/CD, Kubernetes",DevOps Engineer,6,Available,Re-contextualized local adapter,0.64,1,False,10,183,1,58,Female,"2, 2, 1, 5, 4",5,True
"Requirements Gathering, Project Management, Data Modeling",System Analyst,14,Occupied,Reduced leadingedge synergy,0.53,3,True,4,170,7,57,Male,"4, 3, 2, 3, 4",5,True
"Data Modeling, System Design, SQL, Project Management",System Analyst,30,Available,Universal dedicated interface,0.0,5,True,9,247,7,31,Female,"5, 1, 3, 1, 1",0,False
"Project Management, System Design, Data Modeling, Requirements Gathering, SQL",System Analyst,27,Occupied,Re-engineered transitional interface,0.86,1,False,7,217,4,49,Female,"5, 1, 1, 4, 1",1,False
"Docker, Kubernetes, Azure, Shell Scripting, Jenkins",DevOps Engineer,14,Available,Cross-platform clear-thinking utilization,0.19,3,True,4,160,10,37,Female,"4, 2, 5, 5, 1",10,True
"Python, Terraform, Azure, Networking",Cloud Engineer,18,Occupied,Assimilated 4thgeneration encoding,0.94,1,True,2,233,8,33,Male,"3, 4, 5, 1, 3",9,True
"ITIL, Budgeting, Project Management",IT Manager,24,Occupied,Realigned real-time monitoring,0.6,1,True,1,201,5,39,Male,"5, 2, 5, 3, 5",10,False
"Terraform, Python, Google Cloud",Cloud Engineer,8,Available,De-engineered tertiary Graphical User Interface,0.49,2,False,6,211,9,35,Male,"1, 2, 5, 5, 1",8,True
"Kubernetes, Azure, Docker",DevOps Engineer,29,Available,Organic scalable hierarchy,0.6,1,True,4,150,5,55,Male,"4, 2, 3, 1, 5",9,True
"C++, React, JavaScript, CSS",Software Engineer,30,Occupied,Public-key demand-driven complexity,0.15,1,False,8,204,3,39,Female,"5, 2, 1, 2, 5",4,False
"JavaScript, React, Java, HTML, CSS",Software Engineer,12,Available,Reverse-engineered bi-directional collaboration,0.97,3,True,2,165,1,37,Male,"1, 1, 2, 1, 2",5,True
"UML, Data Modeling, Project Management, Business Analysis",System Analyst,11,Occupied,Inverse composite intranet,0.58,2,True,8,188,10,39,Male,"1, 2, 1, 2, 1",3,False
"Google Cloud, Cloud Security, Azure",Cloud Engineer,21,Occupied,De-engineered client-driven framework,0.62,2,False,10,168,3,60,Male,"5, 3, 4, 3, 4",2,True
"AWS, Jenkins, Kubernetes, Azure, Docker",DevOps Engineer,14,Available,Grass-roots foreground encoding,0.82,4,True,10,164,4,57,Female,"1, 4, 3, 4, 4",5,True
"SQL, Data Analysis, R, Pandas, Python",Data Scientist,10,Available,Customer-focused systemic hub,0.34,3,True,6,241,9,57,Female,"5, 5, 5, 4, 4",5,True
"Risk Management, Strategic Planning, Budgeting, Leadership",IT Manager,5,Available,Streamlined dynamic hub,0.76,3,False,6,217,7,46,Female,"1, 2, 3, 5, 5",2,True
"ITIL, Risk Management, Vendor Management",IT Manager,1,Occupied,Monitored real-time budgetary management,0.92,5,False,3,177,6,33,Female,"4, 5, 4, 1, 1",8,False
"R, Matplotlib, Statistics, Data Analysis",Data Scientist,18,Occupied,Function-based responsive contingency,0.06,1,False,10,200,7,36,Female,"4, 4, 5, 4, 5",6,True
"Kubernetes, Shell Scripting, Docker, Azure",DevOps Engineer,21,Available,Operative content-based time-frame,0.97,3,False,7,212,3,39,Female,"5, 5, 4, 2, 5",8,False
"Java, HTML, React",Software Engineer,19,Available,Fully-configurable asymmetric projection,0.73,5,False,7,154,6,49,Female,"3, 2, 5, 4, 4",6,True
"Azure, Docker, Cloud Security, Networking, Python",Cloud Engineer,25,Occupied,Sharable fault-tolerant policy,0.01,1,False,3,152,5,57,Male,"1, 3, 4, 4, 2",9,True
"Python, Azure, Cloud Security, Terraform, Kubernetes",Cloud Engineer,13,Available,Cloned intangible info-mediaries,0.17,4,False,5,231,6,51,Male,"4, 4, 1, 4, 4",0,True
"System Design, Business Analysis, UML",System Analyst,21,Available,Polarized empowering data-warehouse,0.05,5,True,8,197,3,41,Male,"5, 4, 3, 3, 4",0,True
"ITIL, Budgeting, Risk Management, Leadership",IT Manager,21,Available,Networked user-facing parallelism,0.16,1,False,8,170,4,54,Male,"2, 1, 4, 1, 3",8,False
"Azure, Monitoring, Jenkins, CI/CD, Shell Scripting",DevOps Engineer,19,Available,Enterprise-wide zero-defect policy,0.71,3,False,7,177,2,28,Male,"2, 5, 4, 2, 2",0,True
"CSS, HTML, Python, JavaScript",Software Engineer,5,Available,Fundamental bottom-line archive,0.39,5,True,7,229,6,56,Male,"5, 3, 4, 3, 5",3,True
"R, TensorFlow, Pandas, Statistics, SQL",Data Scientist,22,Available,Ameliorated coherent protocol,0.25,2,False,6,181,3,50,Male,"3, 2, 1, 1, 3",3,False
"Project Management, UML, Business Analysis",System Analyst,12,Available,Cross-platform multimedia intranet,0.71,3,True,7,227,6,49,Male,"2, 5, 2, 5, 4",2,False
"Monitoring, Kubernetes, Azure, Shell Scripting",DevOps Engineer,16,Occupied,Pre-emptive content-based Internet solution,0.11,1,False,2,172,5,36,Female,"3, 5, 5, 1, 5",8,True
"Data Analysis, Matplotlib, R, Python",Data Scientist,8,Available,De-engineered context-sensitive project,0.76,3,True,1,158,7,35,Female,"3, 1, 3, 5, 3",7,True
"CSS, React, JavaScript",Software Engineer,19,Available,Switchable impactful encryption,0.94,1,True,3,226,10,57,Female,"2, 3, 2, 1, 1",3,False
"SQL, Java, Django, React, CSS",Software Engineer,29,Occupied,Open-architected next generation utilization,0.88,4,True,7,160,2,49,Male,"4, 1, 4, 3, 1",9,True
"Monitoring, AWS, Jenkins",DevOps Engineer,25,Available,Proactive context-sensitive policy,0.47,5,True,2,181,3,34,Male,"3, 5, 2, 3, 1",7,True
"Docker, Python, Azure, AWS, Terraform",Cloud Engineer,4,Available,Robust heuristic middleware,0.45,3,True,9,205,4,56,Female,"4, 1, 1, 4, 2",7,True
"Risk Management, Strategic Planning, Leadership, Vendor Management",IT Manager,27,Available,Optimized disintermediate paradigm,0.97,1,True,7,218,3,31,Female,"5, 3, 2, 3, 5",3,True
"UML, Data Modeling, SQL",System Analyst,19,Available,Inverse local groupware,0.41,4,True,1,246,9,60,Male,"4, 3, 3, 2, 2",6,False
"Project Management, Strategic Planning, Risk Management, ITIL",IT Manager,6,Available,Assimilated asynchronous emulation,0.93,5,True,3,183,6,34,Male,"4, 5, 1, 1, 1",10,False
"Strategic Planning, Project Management, ITIL",IT Manager,26,Available,Cross-group well-modulated capability,0.97,1,False,9,217,8,25,Female,"5, 1, 1, 1, 2",6,True
"Machine Learning, Pandas, Python",Data Scientist,4,Occupied,Switchable modular collaboration,0.91,2,False,6,219,10,49,Male,"3, 5, 3, 5, 5",6,True
"AWS, Azure, Kubernetes, CI/CD, Linux",DevOps Engineer,25,Occupied,Seamless real-time flexibility,0.42,1,False,7,186,7,22,Female,"4, 2, 3, 3, 2",6,True
"Strategic Planning, Project Management, Leadership, Budgeting",IT Manager,12,Occupied,Quality-focused exuding Graphic Interface,0.37,4,False,9,209,5,26,Female,"1, 2, 5, 3, 5",0,True
"Data Modeling, Business Analysis, SQL, System Design, UML",System Analyst,10,Occupied,Balanced multi-tasking task-force,0.18,3,True,5,244,4,44,Male,"5, 3, 1, 2, 2",6,True
"SQL, React, HTML, CSS, JavaScript",Software Engineer,12,Available,Mandatory multi-state knowledge user,0.0,4,True,7,156,6,30,Male,"2, 1, 2, 2, 1",8,True
"Shell Scripting, Docker, CI/CD, Jenkins, Linux",DevOps Engineer,18,Occupied,Virtual value-added hardware,0.41,2,True,8,162,5,57,Female,"1, 3, 3, 2, 3",10,True
"SQL, Requirements Gathering, UML",System Analyst,14,Occupied,Customer-focused encompassing focus group,0.44,1,False,3,231,6,44,Male,"5, 5, 1, 2, 3",4,False
"Data Analysis, Matplotlib, Pandas, Python",Data Scientist,1,Occupied,Organic full-range knowledge user,0.5,3,False,1,159,4,56,Male,"1, 5, 5, 2, 3",1,False
"Business Analysis, UML, System Design, Project Management",System Analyst,20,Available,Pre-emptive content-based projection,0.8,3,True,6,188,3,42,Male,"1, 5, 4, 4, 4",3,True
"Data Modeling, SQL, UML, Requirements Gathering",System Analyst,19,Occupied,Cross-group local customer loyalty,0.89,5,True,7,228,8,43,Female,"2, 5, 4, 3, 4",5,True
"Cloud Security, AWS, Google Cloud, Kubernetes",Cloud Engineer,2,Occupied,Focused zero administration help-desk,0.77,1,True,2,200,10,36,Male,"1, 1, 1, 3, 4",6,False
"Budgeting, Strategic Planning, Risk Management, Leadership",IT Manager,3,Available,Monitored bi-directional framework,0.12,1,True,3,176,2,23,Female,"5, 1, 5, 1, 3",10,True
"SQL, Project Management, UML, Requirements Gathering, Business Analysis",System Analyst,14,Available,Enterprise-wide encompassing Graphical User Interface,0.04,2,True,4,247,1,37,Male,"2, 3, 2, 3, 5",3,False
"System Design, UML, SQL, Business Analysis, Project Management",System Analyst,14,Occupied,Grass-roots needs-based structure,0.53,3,False,10,250,1,52,Female,"3, 1, 3, 2, 1",1,False
"Data Analysis, Matplotlib, TensorFlow",Data Scientist,18,Occupied,De-engineered real-time middleware,0.96,5,False,1,248,4,34,Female,"3, 1, 4, 5, 4",3,False
"Azure, Docker, Linux, Shell Scripting, CI/CD",DevOps Engineer,17,Available,Enhanced object-oriented support,0.2,2,True,6,221,8,52,Female,"1, 3, 2, 2, 2",0,True
"Data Analysis, Matplotlib, TensorFlow, Statistics",Data Scientist,10,Occupied,Enhanced tangible encoding,0.94,3,False,4,194,2,38,Female,"3, 3, 4, 3, 4",5,False
"Linux, CI/CD, Monitoring",DevOps Engineer,13,Available,Networked multi-state monitoring,0.16,2,False,3,210,4,45,Female,"4, 1, 3, 1, 3",10,False
"Budgeting, Vendor Management, ITIL, Project Management",IT Manager,18,Available,Implemented national open architecture,0.99,1,False,2,236,10,33,Female,"3, 1, 2, 5, 1",7,True
"Cloud Security, Docker, Google Cloud, Kubernetes, Azure",Cloud Engineer,11,Occupied,Operative high-level implementation,0.97,3,False,9,232,1,33,Male,"3, 4, 4, 5, 5",7,True
"Business Analysis, System Design, UML",System Analyst,10,Occupied,Fully-configurable bottom-line protocol,0.07,2,True,9,229,7,55,Female,"3, 1, 5, 3, 1",5,False
"Statistics, Data Analysis, Machine Learning, TensorFlow, Pandas",Data Scientist,30,Occupied,Customer-focused mission-critical migration,0.81,5,False,7,170,1,31,Female,"2, 1, 4, 3, 4",6,True
"Project Management, Business Analysis, UML, Data Modeling, Requirements Gathering",System Analyst,18,Occupied,Polarized needs-based success,0.1,1,True,9,230,4,22,Male,"5, 5, 4, 2, 5",7,True
"AWS, Azure, Docker, Kubernetes",Cloud Engineer,7,Occupied,Cross-group neutral website,0.33,1,False,7,179,3,25,Female,"1, 5, 5, 5, 5",2,False
"TensorFlow, Data Analysis, Python, SQL",Data Scientist,17,Available,Object-based analyzing Graphical User Interface,0.75,1,False,10,235,3,39,Female,"3, 4, 1, 2, 4",3,False
"Business Analysis, SQL, Requirements Gathering, Data Modeling",System Analyst,6,Available,Balanced foreground complexity,0.05,4,False,1,181,2,36,Male,"4, 2, 1, 1, 4",2,True
"Cloud Security, Kubernetes, Docker",Cloud Engineer,23,Available,Intuitive contextually-based matrix,0.75,2,False,7,199,4,56,Male,"3, 4, 5, 3, 4",1,True
"Matplotlib, Machine Learning, Pandas",Data Scientist,15,Available,Profit-focused well-modulated contingency,0.22,5,True,1,241,7,28,Male,"1, 1, 4, 3, 3",2,True
"CSS, JavaScript, Python",Software Engineer,29,Occupied,Cross-platform heuristic frame,0.66,1,True,2,211,6,22,Male,"2, 2, 3, 2, 4",2,True
"Linux, Jenkins, Azure",DevOps Engineer,11,Available,Cross-group explicit firmware,0.14,1,True,6,186,1,23,Male,"1, 5, 2, 4, 4",9,False
"Monitoring, Linux, Kubernetes, Azure, Jenkins",DevOps Engineer,12,Occupied,Synergistic interactive orchestration,0.19,5,False,4,152,6,39,Female,"4, 3, 5, 4, 3",5,False
"Docker, Kubernetes, Terraform",Cloud Engineer,25,Occupied,Synchronized next generation policy,0.53,5,False,8,247,9,59,Female,"3, 1, 1, 5, 4",6,True
"System Design, Business Analysis, SQL",System Analyst,17,Available,Focused multimedia help-desk,0.29,4,False,4,224,4,51,Male,"3, 3, 1, 3, 5",2,False
"C++, HTML, JavaScript, React",Software Engineer,22,Available,Expanded fresh-thinking matrices,0.91,2,True,4,236,8,52,Female,"2, 4, 1, 1, 5",6,True
"Budgeting, Project Management, Vendor Management",IT Manager,1,Occupied,Innovative demand-driven success,0.3,5,False,5,239,1,28,Female,"2, 5, 2, 4, 4",5,False
"Requirements Gathering, UML, Project Management",System Analyst,24,Occupied,Expanded eco-centric migration,0.5,2,True,4,197,9,36,Male,"2, 4, 5, 4, 2",8,False
"React, Java, CSS",Software Engineer,4,Occupied,Optimized static adapter,0.73,1,True,4,154,1,34,Female,"3, 4, 1, 5, 1",4,True
"SQL, R, Matplotlib, Python, Pandas",Data Scientist,2,Available,Devolved contextually-based policy,0.55,5,False,4,152,9,58,Female,"1, 2, 2, 3, 5",1,False
"System Design, Requirements Gathering, UML, Business Analysis",System Analyst,30,Occupied,Advanced clear-thinking matrices,0.04,2,False,9,209,7,30,Female,"3, 3, 2, 3, 2",6,True
"Kubernetes, CI/CD, Docker, Monitoring, Linux",DevOps Engineer,15,Occupied,Focused coherent secured line,0.88,3,True,4,249,2,54,Male,"4, 4, 5, 2, 1",9,True
"Budgeting, Strategic Planning, ITIL, Leadership",IT Manager,9,Available,Mandatory bi-directional Graphical User Interface,0.32,4,False,9,200,6,26,Female,"2, 3, 3, 4, 5",1,False
"Python, AWS, Terraform",Cloud Engineer,6,Occupied,Polarized bifurcated conglomeration,0.03,1,False,8,156,8,48,Male,"3, 3, 3, 4, 2",8,False
"ITIL, Budgeting, Leadership",IT Manager,25,Occupied,Visionary high-level support,0.11,2,False,2,224,1,48,Female,"2, 1, 3, 5, 5",9,True
"Vendor Management, Strategic Planning, Leadership",IT Manager,20,Occupied,User-friendly disintermediate process improvement,0.01,3,True,9,181,10,49,Female,"2, 4, 3, 5, 3",1,True
"Docker, AWS, Kubernetes, Jenkins",DevOps Engineer,26,Occupied,Managed responsive toolset,0.62,2,True,9,203,2,38,Male,"5, 4, 2, 5, 4",10,True
"SQL, System Design, UML, Requirements Gathering",System Analyst,25,Occupied,Total 24hour orchestration,0.74,1,False,9,241,7,42,Male,"4, 2, 1, 5, 2",8,False
"Data Analysis, Machine Learning, Pandas, TensorFlow, Python",Data Scientist,5,Occupied,Persevering 6thgeneration benchmark,0.17,1,False,10,250,1,52,Female,"2, 1, 3, 2, 5",9,True
"Cloud Security, AWS, Terraform, Networking",Cloud Engineer,21,Occupied,Synergized system-worthy protocol,0.06,3,False,7,217,9,29,Male,"2, 2, 1, 3, 2",2,False
"Project Management, Business Analysis, SQL",System Analyst,30,Occupied,Expanded full-range attitude,0.7,4,False,8,210,8,51,Female,"4, 5, 4, 4, 5",4,False
"ITIL, Project Management, Budgeting, Vendor Management",IT Manager,27,Occupied,Universal fault-tolerant workforce,0.94,5,False,9,181,1,42,Female,"2, 3, 3, 2, 2",2,True
"Python, Matplotlib, Pandas",Data Scientist,27,Available,Up-sized mission-critical infrastructure,0.03,2,True,6,185,8,22,Male,"4, 3, 1, 4, 2",8,True
"Shell Scripting, Monitoring, AWS, Docker, Azure",DevOps Engineer,10,Occupied,Proactive 6thgeneration Internet solution,0.39,3,False,2,169,5,29,Male,"3, 2, 2, 3, 3",3,True
"Statistics, Data Analysis, R, Pandas, TensorFlow",Data Scientist,17,Available,Phased scalable portal,0.05,2,True,8,231,3,51,Male,"3, 1, 4, 4, 3",10,False
"React, SQL, Python, Django, CSS",Software Engineer,1,Occupied,Reverse-engineered directional approach,0.61,1,True,10,250,2,50,Male,"3, 4, 5, 3, 1",10,False
"Monitoring, Jenkins, Shell Scripting",DevOps Engineer,17,Available,Switchable clear-thinking info-mediaries,0.8,4,True,10,150,6,41,Female,"4, 3, 3, 2, 3",1,True
"Machine Learning, Pandas, SQL, Statistics",Data Scientist,21,Available,Virtual logistical methodology,0.35,4,True,10,179,10,41,Male,"4, 4, 4, 3, 5",0,False
"Docker, Kubernetes, Azure",DevOps Engineer,27,Available,User-centric 3rdgeneration application,0.63,1,False,2,152,3,51,Female,"1, 5, 5, 4, 4",10,True
"Python, SQL, Machine Learning",Data Scientist,6,Occupied,Distributed secondary migration,0.51,5,False,5,230,8,27,Male,"3, 4, 2, 4, 3",4,True
"Data Analysis, Machine Learning, Python, Pandas, SQL",Data Scientist,8,Available,User-friendly 6thgeneration model,0.89,4,True,7,186,10,37,Male,"1, 2, 3, 5, 4",8,True
"Project Management, Vendor Management, Risk Management, Leadership",IT Manager,13,Available,Robust optimal product,0.87,2,False,1,162,4,25,Male,"3, 4, 2, 4, 3",10,True
"Data Analysis, Machine Learning, Pandas, R, TensorFlow",Data Scientist,10,Occupied,Profit-focused multi-tasking capability,0.23,5,False,1,175,2,46,Female,"1, 1, 2, 1, 1",5,True
"CSS, SQL, Django",Software Engineer,22,Available,Upgradable homogeneous infrastructure,0.77,5,True,4,218,5,37,Male,"2, 5, 4, 2, 1",3,False
"Docker, Networking, Python, AWS",Cloud Engineer,2,Occupied,Decentralized impactful synergy,0.93,4,False,7,203,9,53,Male,"1, 2, 3, 2, 5",8,False
"CI/CD, Docker, Shell Scripting, Jenkins, Linux",DevOps Engineer,18,Available,Organic static artificial intelligence,0.42,4,False,4,223,5,24,Male,"4, 3, 2, 2, 5",10,True
"Kubernetes, Linux, Shell Scripting",DevOps Engineer,17,Occupied,Reduced upward-trending middleware,0.54,4,False,5,248,5,54,Male,"4, 5, 1, 5, 4",0,False
"TensorFlow, Matplotlib, Statistics",Data Scientist,5,Available,Synchronized disintermediate knowledgebase,0.6,3,True,4,161,3,53,Female,"1, 1, 3, 3, 1",6,True
"Google Cloud, AWS, Cloud Security, Docker, Python",Cloud Engineer,2,Occupied,Synchronized motivating analyzer,0.89,1,True,10,165,9,28,Male,"4, 2, 2, 1, 4",10,True
"Vendor Management, ITIL, Budgeting, Leadership, Risk Management",IT Manager,13,Occupied,Reactive analyzing info-mediaries,0.77,2,False,5,204,10,52,Male,"3, 3, 2, 3, 2",10,True
"Business Analysis, System Design, Requirements Gathering, Project Management",System Analyst,12,Available,Multi-channeled actuating projection,0.21,1,True,7,175,3,42,Female,"2, 2, 2, 3, 3",5,False
"System Design, Data Modeling, SQL, Business Analysis, UML",System Analyst,26,Available,Ameliorated grid-enabled complexity,0.59,3,True,8,207,8,35,Male,"4, 5, 4, 2, 2",6,True
"SQL, R, Pandas",Data Scientist,11,Occupied,Public-key well-modulated open system,0.52,2,False,2,241,6,51,Male,"2, 1, 2, 3, 1",0,False
"Cloud Security, AWS, Google Cloud, Azure",Cloud Engineer,1,Occupied,Front-line background strategy,0.56,1,False,1,245,5,57,Male,"2, 3, 3, 1, 4",10,False
"Project Management, Requirements Gathering, SQL, UML, Data Modeling",System Analyst,23,Available,User-friendly demand-driven hardware,0.39,3,False,5,191,7,29,Female,"4, 4, 1, 2, 2",4,False
"Python, Statistics, Matplotlib, Pandas, SQL",Data Scientist,8,Occupied,Fundamental asymmetric initiative,0.02,4,True,3,234,7,40,Female,"5, 1, 4, 4, 4",7,True
"Business Analysis, Requirements Gathering, Data Modeling",System Analyst,10,Available,Managed content-based budgetary management,0.95,4,False,2,239,2,31,Male,"4, 2, 4, 5, 4",3,True
"C++, Django, Java, Python, JavaScript",Software Engineer,27,Available,Front-line non-volatile emulation,0.73,5,False,6,227,2,48,Male,"3, 5, 1, 4, 1",7,False
"Leadership, Project Management, Vendor Management",IT Manager,16,Available,Switchable demand-driven initiative,0.77,4,True,10,244,10,43,Male,"1, 2, 2, 4, 4",8,True
"Shell Scripting, Monitoring, AWS, Linux",DevOps Engineer,23,Available,Focused attitude-oriented open architecture,0.83,3,True,8,205,1,45,Male,"4, 3, 4, 1, 3",4,False
"AWS, Google Cloud, Docker, Kubernetes",Cloud Engineer,17,Available,Intuitive disintermediate interface,0.18,4,False,3,197,9,46,Female,"5, 2, 3, 4, 2",10,False
"Pandas, R, Data Analysis, Statistics, Machine Learning",Data Scientist,2,Available,Stand-alone hybrid data-warehouse,0.26,4,True,1,158,10,32,Female,"5, 2, 3, 2, 5",7,True
"Statistics, Machine Learning, Matplotlib",Data Scientist,14,Available,Team-oriented transitional hub,0.01,5,True,7,158,3,56,Male,"2, 3, 1, 2, 2",6,True
"C++, Java, SQL, Django",Software Engineer,10,Available,Open-architected systematic open system,0.37,2,False,9,201,2,23,Male,"3, 5, 5, 3, 3",7,True
"Data Analysis, Matplotlib, TensorFlow, Python",Data Scientist,7,Occupied,Digitized holistic approach,0.29,1,False,2,199,6,30,Male,"1, 4, 3, 3, 3",7,False
"Data Analysis, R, SQL",Data Scientist,24,Available,Realigned demand-driven contingency,0.04,2,True,5,206,5,56,Male,"4, 2, 4, 1, 5",6,True
"Project Management, Leadership, ITIL, Budgeting",IT Manager,2,Occupied,Business-focused clear-thinking concept,0.68,2,True,10,155,9,50,Male,"5, 4, 2, 5, 2",6,False
"Data Analysis, Python, Matplotlib",Data Scientist,5,Available,Sharable bottom-line intranet,0.48,4,False,4,221,1,35,Male,"5, 1, 5, 4, 1",9,False
"TensorFlow, SQL, Pandas",Data Scientist,11,Available,Persevering attitude-oriented flexibility,0.81,2,False,9,170,3,28,Male,"2, 5, 3, 2, 5",1,False
"Networking, Terraform, Google Cloud",Cloud Engineer,9,Occupied,Inverse client-driven groupware,0.39,4,False,4,234,2,31,Female,"3, 3, 3, 1, 1",7,True
"Business Analysis, Data Modeling, UML, System Design, SQL",System Analyst,25,Available,Networked attitude-oriented product,0.2,4,True,9,210,8,41,Male,"1, 5, 2, 4, 1",4,True
"AWS, Kubernetes, Docker, Networking, Python",Cloud Engineer,1,Available,Reactive heuristic function,0.74,4,False,3,164,9,55,Female,"5, 4, 1, 2, 5",5,False
"Matplotlib, R, Python, Data Analysis, TensorFlow",Data Scientist,15,Occupied,Ameliorated well-modulated task-force,0.89,2,True,8,160,1,27,Female,"2, 4, 2, 4, 5",1,False
"Matplotlib, SQL, Python, Data Analysis",Data Scientist,22,Occupied,Universal systematic synergy,0.46,4,True,9,163,4,35,Female,"2, 4, 3, 2, 1",6,True
"Machine Learning, Python, Data Analysis, Matplotlib, SQL",Data Scientist,8,Available,Organized national architecture,0.78,4,False,4,245,2,32,Female,"4, 5, 2, 2, 4",4,False
"Google Cloud, Docker, Cloud Security, Azure, Kubernetes",Cloud Engineer,7,Available,Horizontal system-worthy archive,0.74,2,False,10,215,2,45,Female,"4, 2, 4, 4, 2",10,False
"Project Management, Requirements Gathering, Data Modeling, SQL",System Analyst,24,Available,Exclusive secondary capability,0.5,2,True,7,219,6,60,Female,"2, 2, 3, 4, 4",1,True
"React, JavaScript, CSS",Software Engineer,10,Occupied,Digitized foreground function,0.53,5,True,4,240,4,35,Female,"2, 1, 2, 2, 2",1,False
"SQL, Java, C++, Django",Software Engineer,16,Occupied,Persistent value-added concept,0.61,3,False,6,203,8,55,Female,"2, 5, 1, 5, 2",0,True
"Vendor Management, Strategic Planning, Budgeting, Project Management, Risk Management",IT Manager,3,Available,Implemented motivating strategy,0.15,3,False,2,189,1,29,Female,"2, 4, 2, 5, 3",5,True
"CI/CD, Jenkins, Monitoring, Docker",DevOps Engineer,15,Occupied,Right-sized foreground definition,0.5,1,True,3,191,5,44,Male,"5, 4, 1, 2, 4",9,True
"Data Modeling, Business Analysis, Requirements Gathering",System Analyst,13,Occupied,Optimized full-range productivity,0.45,4,False,1,179,2,33,Female,"5, 5, 5, 5, 5",3,True
"ITIL, Risk Management, Project Management",IT Manager,13,Available,Enterprise-wide next generation synergy,0.59,2,True,1,226,8,37,Male,"5, 5, 5, 4, 2",10,False
"Machine Learning, R, Data Analysis, Pandas",Data Scientist,5,Occupied,Re-engineered local strategy,0.87,5,False,10,195,5,41,Female,"4, 4, 3, 5, 1",6,True
"R, Statistics, Python, Pandas",Data Scientist,18,Occupied,Optimized mobile monitoring,0.86,2,True,9,183,9,39,Female,"2, 2, 1, 4, 1",7,False
"Business Analysis, Data Modeling, SQL, System Design, UML",System Analyst,15,Occupied,Triple-buffered multi-tasking access,0.8,5,False,8,190,9,34,Male,"3, 2, 4, 5, 5",0,False
"Jenkins, Linux, Monitoring",DevOps Engineer,18,Occupied,Universal zero-defect hierarchy,0.28,5,False,3,184,4,49,Female,"1, 3, 4, 5, 4",10,False
"Statistics, SQL, Data Analysis, Machine Learning, TensorFlow",Data Scientist,26,Occupied,Cross-platform bandwidth-monitored encoding,0.98,2,False,4,169,1,45,Male,"1, 2, 1, 4, 2",8,True
"Networking, Cloud Security, Terraform, Azure, Kubernetes",Cloud Engineer,19,Available,Reverse-engineered zero tolerance monitoring,0.92,1,True,3,192,7,53,Female,"1, 3, 2, 5, 1",5,False
"Requirements Gathering, Business Analysis, Project Management, Data Modeling, SQL",System Analyst,9,Available,Seamless analyzing complexity,0.39,1,True,7,181,1,42,Male,"3, 4, 1, 2, 1",1,False
"Python, JavaScript, HTML, React",Software Engineer,4,Available,Ameliorated analyzing matrices,0.72,5,False,10,247,1,48,Male,"2, 5, 2, 2, 4",4,False
"Budgeting, Project Management, Vendor Management, Leadership",IT Manager,26,Available,Quality-focused well-modulated software,0.1,4,False,7,237,4,60,Male,"1, 4, 4, 1, 1",3,True
"CI/CD, Shell Scripting, Kubernetes, Azure, Monitoring",DevOps Engineer,7,Available,Persistent intermediate migration,0.5,5,False,8,216,2,44,Female,"4, 5, 1, 5, 2",4,True
"TensorFlow, Matplotlib, Pandas, Data Analysis",Data Scientist,4,Occupied,Profit-focused hybrid moratorium,0.6,5,False,5,165,3,39,Male,"3, 1, 2, 5, 2",10,False
"CI/CD, AWS, Kubernetes",DevOps Engineer,3,Occupied,Future-proofed cohesive analyzer,0.37,5,False,7,189,8,56,Male,"4, 1, 5, 4, 4",3,False
"Docker, Terraform, Kubernetes, Python, Google Cloud",Cloud Engineer,7,Available,Up-sized multimedia projection,0.72,5,False,1,191,3,45,Female,"4, 1, 1, 2, 5",10,False
"Networking, Google Cloud, AWS, Python, Docker",Cloud Engineer,29,Available,Innovative upward-trending budgetary management,0.65,1,True,7,159,6,52,Female,"5, 2, 4, 1, 5",3,False
"React, HTML, CSS",Software Engineer,12,Occupied,Fundamental user-facing encryption,0.63,4,True,2,225,9,38,Male,"3, 2, 2, 1, 5",6,False
